mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Dennis DeTurck,"['mathematician', 'university teacher']",['United States of America'],Philadelphia,,['University of Pennsylvania'],,,['American Mathematical Society'],,['Jerry Kazdan'],,,,,,['geometry'],,['3±0'],['human'],['male'],False,15,July,1954,False,,,
Ioan James,"['mathematician', 'university teacher']",['United Kingdom'],Croydon,,,,,['Royal Society'],,['J. H. C. Whitehead'],['English'],,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,23,May,1928,False,,,
Claude Berge,"['mathematician', 'computer scientist']",['France'],Paris,30 June 2002,,,['Paris'],"[""College of 'Pataphysics"", 'Oulipo']",,,['French'],,,,,['graph theory'],"['Euler Medal', '1993']",['2±0'],['human'],['male'],False,5,June,1926,False,30,June,2002
Carole Lacampagne,['mathematician'],,,,['Teachers College'],,,['American Mathematical Society'],,,,,,,,,,,['human'],['female'],False,,,,False,,,
Charles Sanders Peirce,"['mathematician', 'philosopher', 'logician', 'pragmatist', 'statistician', 'university teacher']",['United States of America'],Cambridge,19 April 1914,['Harvard University'],['Johns Hopkins University'],['Milford'],"['National Academy of Sciences', 'American Academy of Arts and Sciences']",['Johns Hopkins University'],,['English'],,,,,['lattice'],,,['human'],['male'],False,10,September,1839,False,19,April,1914
Themistoclea,['priest'],,,,,,,,,,,,,,,,,,['human'],['female'],False,,,-600,False,,,
Roy C. Geary,"['economist', 'statistician']",['United States of America'],,8 February 1983,['University of Paris'],,,,,,,,,,,,,,['human'],['male'],False,11,April,1896,False,8,February,1983
Yang Le,['mathematician'],"[""People's Republic of China""]",Nantong,,['Peking University'],,,['Chinese Academy of Sciences'],,['Xiong Qinglai'],,,,,,,,,['human'],['male'],False,10,November,1939,False,,,
Donald Samuel Ornstein,"['mathematician', 'university teacher']",['United States of America'],New York City,,,,,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']",,['Irving Kaplansky'],,,['Daniel J. Rudolf'],,,,"['Bôcher Memorial Prize', '1974']",['2±0'],['human'],['male'],False,30,July,1934,False,,,
Sydney Chapman (mathematician),"['mathematician', 'astronomer', 'physicist', 'university teacher']",['United Kingdom'],Manchester,16 June 1970,"['University of Manchester', 'Trinity College', 'University of Salford']",['University of Manchester'],['Boulder'],"['Royal Society', 'German Academy of Sciences Leopoldina', 'Royal Swedish Academy of Sciences', 'Lincean Academy', 'Royal Society of Edinburgh']",['University of Manchester'],['G.H. Hardy'],,,,,,,"['Fellow of the Royal Society', 'Copley Medal', '1964', 'Royal Medal', 'Gold Medal of the Royal Astronomical Society', '1949', 'De Morgan Medal', '1944', 'Q1335771', '1969', 'William Bowie Medal', '1962']",,['human'],['male'],False,29,January,1888,False,16,June,1970
Boris Weisfeiler,"['university teacher', 'mathematician', 'travel']","['United States of America', 'Soviet Union']",Moscow,,,['Pennsylvania State University'],,,['Pennsylvania State University'],,,,,,,['mathematics'],,,['human'],['male'],False,,,1942,False,,,
Moritz Cantor,"['mathematician', 'historian of mathematics', 'historian']",['Germany'],Mannheim,10 April 1920,"['University of Göttingen', 'Heidelberg University']",,['Heidelberg'],"['German Academy of Sciences Leopoldina', 'Russian Academy of Sciences', 'Heidelberg Academy for Sciences and Humanities', '1909', 'extraordinary member', 'Russian Academy of Sciences']",,,['German'],,,,,"['history', 'mathematics']",,,['human'],['male'],False,23,August,1829,False,10,April,1920
John Hammersley,['mathematician'],['United Kingdom'],Helensburgh,2 May 2004,"['Emmanuel College', 'Sedbergh School']",,['Oxford'],['Royal Society'],,,,,,,,['probability theory'],"['Fellow of the Royal Society', 'Pólya Prize', '1997']",,['human'],['male'],False,21,March,1920,False,2,May,2004
W. W. Rouse Ball,"['mathematician', 'historian of mathematics', 'university teacher', 'lawyer', 'stage magician']",['United Kingdom'],Hampstead,4 April 1925,"['University College London', 'Trinity College']",,['Cambridge'],,,,['English'],,,,,,,['3±0'],['human'],['male'],False,14,August,1850,False,4,April,1925
Edgar Frisby,"['mathematician', 'astronomer']",['United States of America'],"Great Easton, Leicestershire",1927,,,,,,,,,,,,,,,['human'],['male'],False,22,May,1837,False,,,1927
Oscar Lanford,"['mathematician', 'physicist', 'university teacher']",['United States of America'],New York City,16 November 2013,"['Princeton University', 'Wesleyan University']","['University of California, Berkeley']",,['American Mathematical Society'],"['University of California, Berkeley']",['Arthur Wightman'],,,,,,,,['3±0'],['human'],['male'],False,6,January,1940,False,16,November,2013
Vladimir Mazya,"['mathematician', 'university teacher']",['Sweden'],Saint Petersburg,,,['Linköping University'],,"['American Mathematical Society', 'Royal Swedish Academy of Sciences', 'Royal Society of Edinburgh']",['Linköping University'],,['Russian'],,,,,"['mathematical analysis', 'partial differential equation']",['Alexander von Humboldt Fellow'],['3±0'],['human'],['male'],False,31,December,1937,False,,,
Eugenio Oñate Ibañez de Navarra,"['engineer', 'mathematician']",['Spain'],Valencia,,['Swansea University'],,,,,['Olgierd Zienkiewicz'],,,,,,,"['Ted Belytschko Applied Mechanics Award', '2009']",,['human'],['male'],False,28,March,1953,False,,,
Alemdar Hasanoğlu,['mathematician'],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,1954,False,,,
Achyuta Pisharati,"['mathematician', 'astronomer']",['India'],,1621,,,,,,,,,,,,,,,['human'],['male'],False,,,1550,False,,,1621
Mihir Baran Banerjee,['mathematician'],['India'],,,,,,,,,,,,,,,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1988']",,['human'],['male'],False,29,March,1943,False,,,
Saunders Mac Lane,"['mathematician', 'university teacher']",['United States of America'],Taftville,14 April 2005,"['Yale University', 'University of Chicago', 'University of Göttingen']","['Harvard University', 'Cornell University', 'University of Chicago']",['San Francisco'],"['National Academy of Sciences', 'Heidelberg Academy for Sciences and Humanities', '1976', 'corresponding member', 'American Academy of Arts and Sciences']","['Harvard University', 'Cornell University', 'University of Chicago']",['Hermann Weyl'],['English'],,['Michael D. Morley'],,,['Q3968'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'William Procter Prize for Scientific Achievement', '1979', 'National Medal of Science', '1989']",['3±0'],['human'],['male'],False,4,August,1909,False,14,April,2005
Victor Lidskii,['mathematician'],['Russia'],"Odessa, Ukrainian Soviet Socialist Republic, Soviet Union",29 July 2008,['Moscow State University'],['Moscow Institute of Physics and Technology'],"['Moscow', 'Russia']",,['Moscow Institute of Physics and Technology'],['Israel Gelfand'],,['Doctor of Sciences in Physics and Mathematics'],,,,"['mathematical analysis', 'mathematical physics', 'differential equation', 'operator theory']","['Order of Honour', 'Order of the Red Star', 'Order of the Badge of Honour', 'Order of the Patriotic War 2nd class', 'Medal ""For Courage""', 'Medal ""Veteran of Labour""']",['3±0'],['human'],['male'],False,5,May,1924,False,29,July,2008
Paul Harzer,"['astronomer', 'university teacher']",['Germany'],Großenhain,21 February 1932,,['Leipzig University'],['Kiel'],,['Leipzig University'],,['German'],,,,,,,,['human'],['male'],False,1,August,1857,False,21,February,1932
Peter Turchin,"['scientist', 'historian', 'sociologist']",['United States of America'],"Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",,['Duke University'],['University of Connecticut'],,,['University of Connecticut'],,"['English', 'Russian']",,,,,,,,['human'],['male'],False,,,1957,False,,,
Sijue Wu,['mathematician'],['United States of America'],"""Peoples Republic of China""",,"['Yale University', 'Peking University']","['University of Maryland, College Park', 'University of Michigan']",,,"['University of Maryland, College Park', 'University of Michigan']",,,,,,,,,,['human'],['female'],False,15,May,1964,False,,,
Patrick Murdoch,['mathematician'],,,1774,,,,['Royal Society'],,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,,,,False,,,1774
Emmanuel Grenier,['mathematician'],['France'],Château-Thierry,,['École Normale Supérieure'],,,,,,,,,,,,,,['human'],['male'],False,3,November,1970,False,,,
Edward Ott,"['physicist', 'theoretical physicist']",['United States of America'],New York City,,['Stuyvesant High School'],"['University of Maryland, College Park']",,,"['University of Maryland, College Park']",,,,,,,['chaos theory'],"['Lilienfeld Prize', '2014']",,['human'],['male'],False,22,December,1941,False,,,
Beppo Levi,"['mathematician', 'university teacher']",['Italy'],Turin,18 August 1961,['University of Turin'],['University of Parma'],['Rosario'],,['University of Parma'],['Corrado Segre'],['Italian'],,['Pedro E. Zadunaisky'],,,,,,['human'],['male'],False,14,May,1875,False,18,August,1961
Walter Francis Willcox,['statistician'],['United States of America'],,12 October 1964,"['Columbia University', 'Amherst College', 'Columbia Law School', 'Phillips Academy']",['Cornell University'],,,['Cornell University'],,,,,,,,,,['human'],['male'],False,,,1861,False,12,October,1964
Hernando Burgos-Soto,['mathematician'],,Colombia,,,,,,,['Dror Bar-Natan'],,,,,,,,,['human'],['male'],False,,,,False,,,
Sol Garfunkel,['mathematician'],['United States of America'],Brooklyn,,['University of Wisconsin–Madison'],,,,,['Howard Jerome Keisler'],,,,,,,,,['human'],['male'],False,,,1943,False,,,
Li Ye (mathematician),['mathematician'],['China'],Beijing,1279,,,['Hebei'],,,,,,,,,,,,['human'],['male'],False,,,1192,False,,,1279
Oleg Besov,['mathematician'],"['Soviet Union', 'Russia']","Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",,['Moscow State University'],['Steklov Institute of Mathematics'],,"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Steklov Institute of Mathematics'],['Sergey Nikolsky'],,['Doctor of Sciences in Physics and Mathematics'],,,,"['Function theory', 'mathematical analysis']",['USSR State Prize'],,['human'],['male'],False,27,May,1933,False,,,
Derrick Niederman,"['mathematician', 'squash player']",['United States of America'],,,"['Yale University', 'Massachusetts Institute of Technology']",,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Albrecht Pfister (mathematician),"['mathematician', 'university teacher']",['Germany'],Munich,,,['University of Mainz'],,,['University of Mainz'],,['German'],,,,,,,,['human'],['male'],False,30,July,1934,False,,,
Melvyn B. Nathanson,"['mathematician', 'university teacher']",['United States of America'],Philadelphia,,,['City University of New York'],,,['City University of New York'],['Sanford L. Segal'],['English'],,,,,,,['1±0'],['human'],['male'],False,10,October,1944,False,,,
Jane Cronin Scanlon,"['mathematician', 'university teacher']",['United States of America'],New York City,,,['Rutgers University'],,['American Mathematical Society'],['Rutgers University'],,,,,,,,,,['human'],['female'],False,17,July,1922,False,,,
Hippias,"['philosopher', 'mathematician', 'astronomer']",,Elis,399 BCE,,,['Elis'],,,,['Ancient Greek'],,,,,"['geometry', 'philosophy']",,,['human'],['male'],False,,,-443,False,,,-399
Philip Batchelor,['mathematician'],,,30 August 2011,,,,,,,,,,['accident'],,,,,['human'],['male'],False,30,December,1967,False,30,August,2011
Gottfried Wilhelm Leibniz,"['mathematician', 'jurist', 'physicist', 'philosopher', 'diplomat', 'historian', 'librarian', 'musicologist', 'scientist', 'writer', 'music theorist', 'computer scientist', 'actor', 'Christian apologetics']",,Leipzig,14 November 1716,"['University of Altdorf', 'Leipzig University', 'University of Jena']",,"['Hanover', 'Duchy of Brunswick-Lüneburg', 'Germany', 'Holy Roman Empire']",['Prussian Academy of Sciences'],,"['Jakob Thomasius', 'first doctoral advisor', 'Christiaan Huygens', 'Erhard Weigel', 'second doctoral advisor']","['Latin', 'German', 'French', 'Italian', 'English']",,,,,['mathematical analysis'],"['Fellow of the Royal Society', 'Leibniztempel']",,['human'],['male'],False,21,June,1646,False,14,November,1716
Selim Peabody,['mathematician'],['United States of America'],,1903,['University of Vermont'],,,,,,,,,,,,,,['human'],['male'],False,,,1829,False,,,1903
Nae Ionescu,"['mathematician', 'logician', 'philosopher', 'professor', 'journalist']",['Romania'],Brăila,15 March 1940,"['University of Göttingen', 'University of Bucharest']",,['Miercurea Ciuc'],['Romanian Academy'],,,['Romanian'],,,,,,,,['human'],['male'],False,16,June,1890,False,15,March,1940
Rachel Riley,['television presenter'],['United Kingdom'],Rochford,,"['Oriel College', 'University of Oxford']",,,,,,,,,,,,,,['human'],['female'],False,11,January,1986,False,,,
Andrzej Schinzel,"['mathematician', 'university teacher']",['Poland'],Sandomierz,,['University of Warsaw'],,,"['Polish Academy of Sciences', 'Hungarian Academy of Sciences', 'German Academy of Sciences Leopoldina']",,['Wacław Sierpiński'],['Polish'],,['Henryk Iwaniec'],,,['number theory'],"['Knight of the Order of Polonia Restituta', 'Medal of the National Education Commission', 'Q914004', '1992']",['1±0'],['human'],['male'],False,5,April,1937,False,,,
Jean Frédéric Frenet,"['mathematician', 'astronomer']",['France'],Périgueux,12 June 1900,['École Normale Supérieure'],,['Périgueux'],,,,['French'],,,,,['differential geometry'],,,['human'],['male'],False,7,February,1816,False,12,June,1900
Yvon Villarceau,"['astronomer', 'mathematician', 'engineer']",['France'],Vendôme,23 December 1883,['École Centrale Paris'],,['Paris'],"['Russian Academy of Sciences', 'French Academy of Sciences']",,['François Arago'],['French'],,,,,,,,['human'],['male'],False,15,January,1813,False,23,December,1883
James Wood (mathematician),['mathematician'],,,23 April 1839,"[""St John's College""]",,,,,,,,,,,,,,['human'],['male'],False,14,December,1760,False,23,April,1839
Vlastimil Pták,['mathematician'],,,1999,,,,,,,,,,,,,,,['human'],['male'],False,8,November,1925,False,,,1999
Nicolai Reshetikhin,"['mathematician', 'topologist', 'university teacher']",['Russia'],Saint Petersburg,,,"['University of California, Berkeley']",,,"['University of California, Berkeley']",['Ludvig Faddeev'],,['Doctor of Sciences in Physics and Mathematics'],,,,['topology'],,,['human'],['male'],False,10,October,1958,False,,,
Joseph-Émile Barbier,"['astronomer', 'mathematician']",['France'],,1889,['École Normale Supérieure'],,,,,,,,,,,,,,['human'],['male'],False,,,1839,False,,,1889
László Lempert,['mathematician'],['United States of America'],Budapest,,,,,"['American Mathematical Society', 'Hungarian Academy of Sciences']",,,,,,,,,,['2±0'],['human'],['male'],False,4,June,1952,False,,,
Viktor Bunyakovsky,"['mathematician', 'teacher']",['Russian Empire'],Bar,30 November 1889,,"['Saint Petersburg State University', '1864', '1869', 'Petersburg State Transport University', 'National Mineral Resources University']",['Saint Petersburg'],"['Russian Academy of Sciences', 'Russian Academy of Sciences']","['Saint Petersburg State University', '1864', '1869', 'Petersburg State Transport University', 'National Mineral Resources University']",['Augustin Louis Cauchy'],['Russian'],"['Bachelor of Science', '1824', 'licence', '1824', 'Doctor of Science', '19 May 1825Gregorian', 'University of Paris']",,,,"['mathematical analysis', 'number theory', 'probability theory']",,,['human'],['male'],False,16,December,1804,False,30,November,1889
Corrado de Concini,"['mathematician', 'university teacher']",['Italy'],Rome,,,,,['Academia Europaea'],,,,,,,,,"['Caccioppoli Prize', '1986']",,['human'],['male'],False,28,July,1949,False,,,
Gustave Malécot,"['mathematician', 'biologist']",['France'],"""LHorme""",November 1998,['École Normale Supérieure'],,['Fayence'],,,,['French'],,,,,,"['Officer of the Legion of Honour', 'Officer of the Order of Academic Palms']",,['human'],['male'],False,28,December,1911,False,,November,1998
Alvany Rocha,['mathematician'],,,,"['Rutgers University', 'Doctor of Philosophy', '1978']","['CUNY Graduate Center', '1990']",,['American Mathematical Society'],"['CUNY Graduate Center', '1990']",['Nolan Wallach'],,,,,,,,,['human'],['female'],False,,,,False,,,
Leopold Kronecker,"['mathematician', 'university teacher']",['Germany'],Legnica,29 December 1891,['University of Bonn'],['Humboldt University of Berlin'],"['Berlin', 'Germany']","['Royal Society', 'German Academy of Sciences Leopoldina', 'Russian Academy of Sciences', 'Hungarian Academy of Sciences', 'Russian Academy of Sciences', 'Prussian Academy of Sciences']",['Humboldt University of Berlin'],['Johann Franz Encke'],['German'],,,,,['number theory'],,,['human'],['male'],False,7,December,1823,False,29,December,1891
William Y.C. Chen,['mathematician'],,,,['Massachusetts Institute of Technology'],,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Tony Greenfield,['statistician'],['United Kingdom'],,,"['Bedford School', 'University College London', 'Imperial College London']",['University of Sheffield'],,,['University of Sheffield'],,['English'],,,,,,,,['human'],['male'],False,26,April,1931,False,,,
Robert Arnott Wilson,"['mathematician', 'university teacher']",['United Kingdom'],,,,,,,,,,,,,,['group theory'],,['2±0'],['human'],['male'],False,,,1958,False,,,
Miguel Ángel Fernández Sanjuán,"['physicist', 'theoretical physicist']",,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Peter Lax,"['mathematician', 'university teacher']",['Hungary'],Budapest,,"['New York University', 'Stuyvesant High School']",['New York University'],,"['French Academy of Sciences', 'Norwegian Academy of Science and Letters', 'American Mathematical Society', 'National Academy of Sciences', 'Academy of Sciences of the USSR', 'Hungarian Academy of Sciences', 'Russian Academy of Sciences', 'American Academy of Arts and Sciences']",['New York University'],['Kurt O. Friedrichs'],['English'],,,,,['partial differential equation'],"['Abel Prize', '2005', 'Lomonosov Gold Medal', '2013', 'National Medal of Science', '1986', 'Josiah Willard Gibbs Lectureship', '2007']",['3±0'],['human'],['male'],False,1,May,1926,False,,,
Abraham Robinson,"['mathematician', 'engineer', 'university teacher']",['United States of America'],Wałbrzych,11 April 1974,['University of London'],"['University of California, Los Angeles', 'Yale University']",['New Haven'],['American Academy of Arts and Sciences'],"['University of California, Los Angeles', 'Yale University']",['Paul Dienes'],['English'],,,['natural causes'],,"['mathematical logic', 'model theory', 'non-standard analysis']","['Brouwer Medal', '1973']",['2±0'],['human'],['male'],False,6,October,1918,False,11,April,1974
Iain M. Johnstone,['university teacher'],['Australia'],Melbourne,,['Cornell University'],['Stanford University'],,['American Academy of Arts and Sciences'],['Stanford University'],['Lawrence D. Brown'],,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,,,1956,False,,,
Theodorus Moretus,"['mathematician', 'writer', 'priest', 'astronomer']",['Southern Netherlands'],Antwerp,6 November 1667,,,,,,,,,,,,,,,['human'],['male'],False,9,February,1602,False,6,November,1667
Thomas Callister Hales,"['mathematician', 'university teacher']",['United States of America'],San Antonio,,['Princeton University'],"['University of Michigan', 'University of Pittsburgh']",,['American Mathematical Society'],"['University of Michigan', 'University of Pittsburgh']",['Robert Langlands'],,,,,,,"['David P. Robbins Prize', '2007']",['3±0'],['human'],['male'],False,4,June,1958,False,,,
Philippe Kahn,"['entrepreneur', 'computer scientist']",['France'],Paris,,"['ETH Zurich', 'University of Nice Sophia Antipolis']",,,,,,,,,,,,,,['human'],['male'],False,16,March,1952,False,,,
George Bergman,['university teacher'],['United States of America'],Brooklyn,,"['Harvard University', 'Stuyvesant High School']","['University of California, Berkeley']",,,"['University of California, Berkeley']",['John Tate'],,,,,,,,['2±0'],['human'],['male'],False,22,July,1943,False,,,
Aṣ-Ṣaidanānī,"['astronomer', 'mathematician']",,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Bram van Leer,[''],,Dutch East Indies,,,['University of Michigan'],,,['University of Michigan'],['Hendrik C. van de Hulst'],,,,,,,,,['human'],['male'],False,,,,False,,,
Vera Kublanovskaya,['mathematician'],"['Soviet Union', 'Russia']","Krokhino, Vologda Oblast",21 February 2012,"['Mathematics and Mechanics Faculty, St. Petersburg State University']",,[],,,,,['Doctor of Sciences in Physics and Mathematics'],,,,"['Q3968', 'numerical analysis']",,['3±0'],['human'],['female'],False,21,November,1920,False,21,February,2012
Marcia P. Sward,['mathematician'],['United States of America'],Maywood,21 September 2008,"['University of Illinois system', 'University of Illinois at Urbana–Champaign', 'Vassar College']",,"['Washington, D.C.']",,,,,,,,,,,,['human'],['female'],False,1,February,1939,False,21,September,2008
Daniel Pedoe,['mathematician'],['United Kingdom'],London,1998,['Magdalene College'],"['University of Southampton', 'University of Minnesota']",,,"['University of Southampton', 'University of Minnesota']",,,,,,,,,,['human'],['male'],False,,,1910,False,,,1998
Yuri Petunin,['mathematician'],"['Soviet Union', 'Ukraine']",Michurinsk,1 June 2011,,['Taras Shevchenko National University of Kyiv'],"['Kiev', 'Ukraine']",,['Taras Shevchenko National University of Kyiv'],['Selim Kreyn'],,['Doctor of Sciences in Physics and Mathematics'],,,,"['mathematical statistics', 'functional analysis']",,,['human'],['male'],False,30,September,1937,False,1,June,2011
Okan Ersoy,['computer scientist'],['United States of America'],,,,['Purdue University'],,,['Purdue University'],,,,,,,,,,['human'],['male'],False,,,,False,,,
Teresa Cohen,['mathematician'],['United States of America'],Baltimore,10 August 1992,['Johns Hopkins University'],,,,,,,,,,,,,,['human'],['female'],False,14,February,1892,False,10,August,1992
Edward Barbeau,['mathematician'],,Canada,,,['University of Toronto'],,,['University of Toronto'],,,,,,,,,,['human'],['male'],False,,,,False,,,
George Thibaut,"['mathematician', 'historian of mathematics']","['United Kingdom', 'Germany']",,1914,,['University of Calcutta'],,,['University of Calcutta'],,['English'],,,,,,['Companion of the Order of the Indian Empire'],,['human'],['male'],False,20,March,1848,False,,,1914
Leo Zippin,['mathematician'],['United States of America'],New York City,11 May 1995,['University of Pennsylvania'],,['New York City'],['American Academy of Arts and Sciences'],,,,,,,,,,,['human'],['male'],False,25,January,1905,False,11,May,1995
George Sinclair (mathematician),"['engineer', 'mathematician']",,,1696,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,1696
David Cox (statistician),"['mathematician', 'statistician', 'university teacher']",['United Kingdom'],Birmingham,,"['University of Leeds', ""St John's College""]","['Imperial College London', 'Birkbeck, University of London']",,"['Royal Society', 'Academia Europaea', 'American Philosophical Society', 'National Academy of Sciences', 'British Academy', 'American Academy of Arts and Sciences']","['Imperial College London', 'Birkbeck, University of London']",['Henry Daniels'],['English'],,,,,['queueing theory'],"['Copley Medal', '2010', 'BBVA Foundation Frontiers of Knowledge Award', 'fundamental science', '2016', 'International Prize in Statistics', '2016', 'Max Planck research award', '1992', 'Kettering Prize', '1990']",['3±0'],['human'],['male'],False,15,July,1924,False,,,
Étienne Fouvry,['mathematician'],['France'],,,,,,,,['Jean-Marc Deshouillers'],,,,,,,,,['human'],['male'],True,,,1900,False,,,
Lawrie Brown,"['cryptographer', 'computer scientist', 'engineer']",,,,['University of New South Wales'],,,,,,,,,,,,,['3±0'],['human'],['male'],False,,,,False,,,
Wu Renchen,['mathematician'],['China'],,1689,,,,,,,,,,,,,,,['human'],['male'],False,,,1628,False,,,1689
Florence Nightingale David,"['statistician', 'mathematician']",['United Kingdom'],Ivington,23 July 1993,['University College London'],['University College London'],,,['University College London'],,,,,,,,,,['human'],['female'],False,23,August,1909,False,23,July,1993
Athir al-Din al-Abhari,"['astronomer', 'mathematician']","['Iran', 'Iraq']",Abhar,1264,,,,,,,['Arabic'],,,,,"['astronomy', 'mathematics', 'philosophy']",,,['human'],['male'],False,,,1200,False,,,1264
Michio Jimbo,"['mathematician', 'university teacher']",['Japan'],,,"['Kyoto University', 'University of Tokyo']","['University of Tokyo', 'Kyoto University', 'Rikkyo University']",,,"['University of Tokyo', 'Kyoto University', 'Rikkyo University']",,,,,,,,"['Dannie Heineman Prize for Mathematical Physics', '2013', 'Wigner Medal', '2010']",,['human'],['male'],False,28,November,1951,False,,,
Inder Bir Singh Passi,['mathematician'],,,,,,,,,,,,,,,,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1983']",,['human'],['male'],False,20,August,1939,False,,,
Gilbert Ames Bliss,"['mathematician', 'university teacher']",['United States of America'],Chicago,8 May 1951,['University of Chicago'],['University of Chicago'],['Illinois'],"['National Academy of Sciences', 'American Academy of Arts and Sciences']",['University of Chicago'],['Oskar Bolza'],,,,,,['mathematical analysis'],,,['human'],['male'],False,9,May,1876,False,8,May,1951
Timothy Browning,"['mathematician', 'university teacher']",['United Kingdom'],Kingston upon Thames,,['University of Oxford'],['University of Bristol'],,,['University of Bristol'],['Roger Heath-Brown'],,,,,,,,,['human'],['male'],False,28,February,1976,False,,,
Monique Laurent,"['computer scientist', 'mathematician']",['France'],,,['Paris Diderot University'],"['Tilburg University', 'Centrum Wiskunde & Informatica', 'CNRS']",,,"['Tilburg University', 'Centrum Wiskunde & Informatica', 'CNRS']",['Michel Deza'],,,,,,"['mathematics', 'mathematical optimization']",,,['human'],['female'],False,9,March,1960,False,,,
Suzanne Weekes,['mathematician'],,,,,,,,,,,,,,,,,,['human'],,False,,,,False,,,
Jerome Cornfield,['statistician'],['United States of America'],,1979,,['University of Pittsburgh'],,,['University of Pittsburgh'],,,,,,,,,['3±0'],['human'],['male'],False,,,1912,False,,,1979
Josiah Willard Gibbs,"['mathematician', 'physicist', 'chemist', 'university teacher', 'theoretical physicist']",['United States of America'],New Haven,28 April 1903,"['Yale University', 'Heidelberg University']",['Yale University'],['New Haven'],"['Royal Society', 'Göttingen Academy of Sciences', 'American Academy of Arts and Sciences', 'Prussian Academy of Sciences']",['Yale University'],['Hubert Anson Newton'],['English'],,"['Edwin Bidwell Wilson', 'Irving Fisher', 'Henry Andrews Bumstead', 'Lynde Wheeler', 'Lee De Forest']",,,['mathematical analysis'],"['Copley Medal', '1901', 'Rumford Prize']",,['human'],['male'],False,11,February,1839,False,28,April,1903
Michael Benedicks,"['mathematician', 'university teacher']",['Sweden'],,,['Royal Institute of Technology'],['Royal Institute of Technology'],,['Royal Swedish Academy of Sciences'],['Royal Institute of Technology'],,,,,,,,,,['human'],['male'],False,,,1949,False,,,
Lynne H. Walling,['mathematician'],,,,,,,['American Mathematical Society'],,,,,,,,,,,['human'],['female'],False,,,,False,,,
Nathan Daboll,"['mathematician', 'teacher']",['United States of America'],Groton,9 March 1818,,,['Groton'],,,,,,,,,,,,['human'],['male'],False,24,April,1750,False,9,March,1818
James (Mac) Hyman,['mathematician'],['United States of America'],,,['Tulane University'],['Tulane University'],,,['Tulane University'],,,,,,,,,,['human'],['male'],False,,,1950,False,,,
William Caspar Graustein,"['mathematician', 'university teacher']",['United States of America'],Cambridge,22 January 1941,,['Harvard University'],,['American Academy of Arts and Sciences'],['Harvard University'],,,,,,,,,,['human'],['male'],False,15,November,1888,False,22,January,1941
Ib Madsen,"['mathematician', 'university teacher']",['Denmark'],Copenhagen,,"['University of Chicago', 'University of Copenhagen']","['University of Copenhagen', 'Aarhus University']",,"['American Mathematical Society', 'Royal Swedish Academy of Sciences', 'Academia Europaea', 'Royal Danish Academy of Sciences and Letters']","['University of Copenhagen', 'Aarhus University']",['J. Peter May'],,,,,,,"['Ostrowski Prize', '2011']",['3±0'],['human'],['male'],False,12,April,1942,False,,,
Curtis T. McMullen,"['mathematician', 'topologist', 'university teacher']",['United States of America'],Berkeley,,"['Harvard University', 'Williams College']","['Princeton University', 'Harvard University', 'University of California, Berkeley']",,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']","['Princeton University', 'Harvard University', 'University of California, Berkeley']",['Dennis Sullivan'],,,['Maryam Mirzakhani'],,,['topology'],"['Fields Medal', '1998', 'John Simon Guggenheim Memorial Foundation Fellowship', 'Salem Prize', '1991', 'Alexander von Humboldt Fellow']",['3±0'],['human'],['male'],False,21,May,1958,False,,,
Woody Bledsoe,"['mathematician', 'priest', 'computer scientist', 'engineer', 'artificial intelligence researcher']",['United States of America'],Maysville,4 October 1995,,['University of Texas at Austin'],,,['University of Texas at Austin'],['Anthony Morse'],,,,,,,"['Herbrand Award', '1994']",['2±0'],['human'],['male'],False,12,November,1921,False,4,October,1995
Leslie Fox,['mathematician'],['United Kingdom'],Dewsbury,1 August 1992,['Christ Church'],['Open University'],['Oxford'],,['Open University'],['Richard V. Southwell'],,,,,,,,,['human'],['male'],False,30,September,1918,False,1,August,1992
